	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
957	7581699	0.3452	0.224	0.1736	0.1769	0.1803	0.1501
958	7581711						
959	7581745						
960	7581868						
961	7582040	0.4852	0.5059	0.4383	0.4537	0.4642	0.4341
962	7582201						
963	7582877	0.4831	0.525	0.525	0.525	0.525	0.553
964	7583153	0.6548	0.5901	0.6077	0.574	0.5605	0.562
965	7583235						
966	7583355						
967	7583467						
968	7584572						
969	7584668						
970	7584783						
971	7584826						
972	7584931						
973	7584992	0.6608	0.6379	0.6756	0.6971	0.6841	0.6367
974	7585009	0.5453	0.6097	0.6658	0.7217	0.7139	0.7117
975	7585037						
976	7585155						
977	7585320						
978	7585508	0.387	0.6022	0.6916	0.6757	0.7008	0.6284
979	7585622						
980	7585625						
981	7585875						
982	7585978						
983	7586008						
984	7586010						
985	7586131						
986	7586174	0.36	0.4477	0.4821	0.5348	0.5436	0.5525
987	7586805						
988	7586979	0.5531	0.4226	0.3276	0.2727	0.2361	0.2087
989	7586995						
990	7587079						
991	7587093						
992	7587094						
993	7587109						
994	7587126						
995	7587891	0.8688	0.8707	0.8264	0.7885	0.7907	0.7596
996	7588050						
997	7588051	0.8688	0.8659	0.715	0.6517	0.6804	0.6437
998	7588061	0.6548	0.776	0.734	0.6768	0.6937	0.7047
999	7588074						
1000	7588253						
1001	7588336						
1002	7588416						
1003	7588575						
1004	7588628						
1005	7588675						
1006	7588712						
1007	7588759						
1008	7588883						
1009	7589067						
1010	7589072						
1011	7589080						
1012	7589118						
1013	7589218						
1014	7589234						
1015	7589239						
1016	7589243						
1017	7589251						
1018	7589553						
1019	7589576						
1020	7589695						
1021	7589986						
1022	7590247						
1023	7590289						
1024	7590597						
1025	7591656						
1026	7591984						
1027	7591985						
1028	7592019						
1029	7592117						
1030	7592373						
1031	7592558						
1032	7592607						
1033	7592646						
1034	7592778						
1035	7592786						
1036	7592792						
1037	7592797						
1038	7592805						
1039	7592865						
1040	7592868	0.214	0.1389	0.1538	0.1603	0.1796	0.2047
1041	7592888						
1042	7592957						
1043	7593131	0.8539	0.8105	0.8224	0.7646	0.7962	0.7327
1044	7593132						
1045	7593161						
1046	7593162						
1047	7593195						
1048	7593201						
1049	7593235						
1050	7593294						
1051	7593324						
1052	7593373						
1053	7593839						
1054	7593954						
1055	7594232						
1056	7595373						
1057	7595533						
1058	7595652	0.5296	0.5617	0.6166	0.6133	0.5847	0.6048
1059	7595656	0.7995	0.8699	0.8385	0.8315	0.828	0.7919
1060	7596330						
1061	7596401						
1062	7596416						
1063	7596885						
1064	7596985						
1065	7597575						
1066	7597725						
1067	7598472	0.3939	0.3585	0.3542	0.3629	0.3758	0.4199
1068	7598484	0.1279	0.1785	0.3008	0.2504	0.2701	0.3371
1069	7598661						
1070	7598724						
1071	7598792						
1072	7598821						
1073	7599127						
1074	7599146						
1075	7599175						
1076	7599278						
1077	7599527						
1078	7599646						
1079	7599787	0.9026	0.8584	0.8018	0.7679	0.7625	0.7583
1080	7599939						
1081	7600571	0.2409	0.2991	0.2319	0.2254	0.1951	0.2344
1082	7600845						
1083	7600886						
1084	7600907						
1085	7600952						
1086	7600984						
1087	7600991	0.2183	0.2788	0.3689	0.4411	0.4628	0.5081
1088	7601109						
1089	7601120						
1090	7601132						
1091	7601225						
1092	7601313	0.5029	0.5501	0.5649	0.6049	0.5872	0.5644
1093	7601450						
1094	7601451						
1095	7601470						
1096	7601860						
1097	7602098	0.0	0.1518	0.2051	0.2384	0.2597	0.2603
1098	7602133	1.0	0.7846	0.698	0.614	0.5849	0.7259
1099	7602140						
1100	7602148						
1101	7602395						
1102	7602535						
1103	7602615						
1104	7602769						
1105	7602788						
1106	7603052						
1107	7603172	0.786	0.8611	0.8476	0.8731	0.8368	0.8647
1108	7603412						
1109	7603459						
1110	7603463						
1111	7603620						
1112	7603980						
1113	7604476						
1114	7604534						
1115	7604852						
1116	7604885	0.36	0.3897	0.3897	0.3897	0.3897	0.3897
1117	7605419						
1118	7605932						
1119	7605936						
1120	7606080						
1121	7606088						
1122	7606090						
1123	7606169						
1124	7606213						
1125	7606218						
1126	7606242						
1127	7606361						
1128	7606455						
1129	7606479						
1130	7606712	0.4323	0.568	0.6059	0.5592	0.5206	0.5042
1131	7606714						
1132	7606717						
1133	7606733						
1134	7606737						
1135	7606818	0.0437	0.0284	0.0806	0.1019	0.106	0.1451
1136	7607168						
1137	7607563						
1138	7607649						
1139	7607683						
1140	7608039						
1141	7608133						
1142	7608180						
1143	7608468						
1144	7608488						
1145	7608666						
1146	7608718						
1147	7608738						
1148	7608765						
1149	7608886						
1150	7608968						
1151	7609044						
1152	7609634						
1153	7609640						
1154	7609922						
1155	7610317						
1156	7610485						
1157	7611436						
1158	7611559						
1159	7611715	1.0	0.9558	0.9373	0.9144	0.9259	0.8697
1160	7611719						
1161	7612215						
1162	7612243						
1163	7612661	0.7739	0.8533	0.7513	0.7265	0.6837	0.5853
1164	7612670						
1165	7612694						
1166	7612823						
1167	7612831						
1168	7612938						
1169	7613282						
1170	7613464						
1171	7613482						
1172	7613517						
1173	7613534						
1174	7614395	0.3601	0.5847	0.5706	0.5756	0.561	0.5887
1175	7614465						
1176	7614678						
1177	7614681						
1178	7614700						
1179	7614702						
1180	7614713	0.3392	0.2201	0.2643	0.22	0.2177	0.1372
1181	7615094						
1182	7615159						
1183	7615471						
1184	7615509						
1185	7615568	0.9026	0.9368	0.951	0.9252	0.9352	0.8821
1186	7615584						
1187	7615655						
1188	7615677						
1189	7615685						
1190	7615687						
1191	7615693						
1192	7615761						
1193	7615825						
1194	7615905						
1195	7615963						
1196	7616486						
1197	7616612						
1198	7616848						
1199	7617163						
1200	7617182						
1201	7617191	0.8688	0.9149	0.9056	0.8652	0.8654	0.781
1202	7617406						
1203	7617649	0.9026	0.7156	0.6586	0.7157	0.7263	0.7355
1204	7617702						
1205	7617706						
1206	7617965						
1207	7618086						
1208	7618107						
1209	7618284						
1210	7619017	0.7699	0.729	0.7899	0.7587	0.7184	0.775
1211	7619078						
1212	7619219						
1213	7619525	0.5635	0.6531	0.7311	0.7761	0.7348	0.7931
1214	7619574						
1215	7619724						
1216	7619955						
1217	7620030						
1218	7620118						
1219	7620227						
1220	7620317						
1221	7620615						
1222	7620961						
1223	7620979						
1224	7621403						
1225	7621503						
1226	7621819						
1227	7621834						
1228	7621866						
1229	7621872						
1230	7621907						
1231	7622284						
1232	7622307						
1233	7622413						
1234	7622464						
1235	7622574						
1236	7622620						
1237	7623078						
1238	7623101						
1239	7623112						
1240	7623154						
1241	7623256						
1242	7623470						
1243	7623585						
1244	7623815						
1245	7623827						
1246	7623831						
1247	7623839						
1248	7623844	0.0	0.0	0.0146	0.0233	0.0201	0.0683
1249	7623877						
1250	7623895						
1251	7624020						
1252	7624121						
1253	7624125						
1254	7624128						
1255	7624148						
1256	7624149	0.1461	0.0948	0.1161	0.0967	0.0837	0.1083
1257	7624152	0.4704	0.3786	0.3396	0.3502	0.33	0.2977
1258	7624491						
1259	7624775						
1260	7625078						
1261	7625565						
1262	7625668						
1263	7626065						
1264	7626098						
