	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
50	11528119	0.3392	0.2749	0.2749	0.2749	0.2749	0.4832
51	11528501	0.0	0.0729	0.0729	0.0729	0.0729	0.2587
52	11760577	0.786	0.7827	0.7855	0.7543	0.7339	0.8433
53	11790842	0.7995	0.7786	0.6484	0.6623	0.6718	0.8291
54	11891523	0.5922	0.5023	0.485	0.4589	0.4837	0.6396
55	11891527	0.2145	0.2592	0.2501	0.2633	0.3676	0.5548
56	12041731	0.3031	0.3319	0.392	0.5436	0.5731	0.626
57	12050860	0.5958	0.5957	0.545	0.5765	0.5765	0.7344
58	12138500	0.1279	0.1927	0.1924	0.2825	0.3215	0.4928
59	12370837	0.214	0.2867	0.378	0.378	0.4221	0.5436
60	12406897	0.5734	0.6709	0.7001	0.6176	0.6428	0.8326
61	12438737	0.5296	0.367	0.486	0.486	0.486	0.5773
62	12453410	0.8573	0.7223	0.6505	0.6206	0.6183	0.7996
63	12461685	0.3031	0.4364	0.5762	0.618	0.618	0.618
64	12476447	0.0	0.0	0.0	0.0	0.084	0.084
65	12485830	0.7995	0.7344	0.7048	0.6987	0.7041	0.855
66	12684692	0.5213	0.5213	0.5213	0.5213	0.5213	0.5213
67	12697995	0.1275	0.1189	0.3108	0.3537	0.3537	0.3889
68	12851708	0.7727	0.6847	0.6568	0.6907	0.7235	0.8102
69	12925283	0.4592	0.4637	0.5996	0.6561	0.6478	0.7634
70	12948725	0.5296	0.4208	0.4399	0.4917	0.4917	0.623
71	12956262	1.0	1.0	0.9701	0.9196	0.9042	0.8852
72	13680362	0.2021	0.1774	0.1774	0.2178	0.2178	0.352
73	14564256	0.4208	0.4203	0.3813	0.4222	0.4779	0.6628
74	14571274	0.6062	0.62	0.62	0.62	0.62	0.7272
75	14610348	0.0	0.1605	0.1605	0.218	0.274	0.4626
76	14622239	0.8539	0.7835	0.7555	0.7071	0.7179	0.8638
77	14674455	0.9026	0.8944	0.9181	0.9318	0.9236	0.9366
78	14676949	1.0	1.0	0.9709	0.9542	0.9339	0.9535
79	14702191	0.6327	0.7801	0.8331	0.8076	0.7886	0.7861
80	14747550	0.214	0.2316	0.3051	0.3436	0.4291	0.6252
81	14963141	0.476	0.5614	0.5917	0.6065	0.654	0.8009
82	14980493	0.1844	0.4244	0.4955	0.5018	0.5505	0.7276
83	15004461	0.2285	0.3695	0.3695	0.3695	0.4056	0.5034
84	15114285	0.5904	0.5953	0.6098	0.6422	0.6724	0.7864
85	15125637	0.0	0.1564	0.1564	0.1564	0.2588	0.3564
86	15130820	0.3333	0.5011	0.5793	0.596	0.6216	0.6821
87	15218254	0.6577	0.6577	0.6577	0.7076	0.7076	0.7879
88	15258568	0.8869	0.8081	0.7769	0.7258	0.6991	0.8256
89	15305057	0.2021	0.1885	0.1885	0.1885	0.2296	0.4514
90	15326625	0.0	0.0911	0.1755	0.2444	0.3088	0.4314
91	15341835	0.4464	0.377	0.454	0.465	0.4743	0.6685
92	15506562	0.6097	0.4805	0.4345	0.413	0.413	0.6114
93	15580276	1.0	0.8375	0.785	0.7528	0.786	0.8762
94	15610964	0.9026	0.9368	0.9211	0.9343	0.9081	0.8838
95	15634958	0.3156	0.4896	0.5169	0.5189	0.5481	0.7074
96	15693740	0.3109	0.2474	0.2422	0.2823	0.3383	0.5177
97	15706535	0.467	0.6147	0.5458	0.5696	0.5564	0.7032
98	15748124	1.0	1.0	0.9539	0.9394	0.9275	0.9655
99	15750004	0.6062	0.4585	0.4623	0.5638	0.5938	0.7349
