	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
1297	7647975						
1298	7648333	0.0	0.0	0.0	0.0341	0.0295	0.0391
1299	7648365						
1300	7648442						
1301	7648625						
1302	7649222						
1303	7649270						
1304	7649292						
1305	7649380						
1306	7649383						
1307	7649397						
1308	7649416						
1309	7649518						
1310	7650000						
1311	7650008	0.1696	0.1513	0.1513	0.2225	0.2225	0.2225
1312	7650025						
1313	7650375						
1314	7650683						
1315	7651139						
1316	7651182						
1317	7651351						
1318	7651399						
1319	7651419						
1320	7651430						
1321	7651536						
1322	7651819						
1323	7652083						
1324	7652167						
1325	7652199						
1326	7652510						
1327	7653165						
1328	7654070	0.8304	0.8237	0.8207	0.8507	0.8446	0.8723
1329	7654074	0.0	0.2874	0.3613	0.4342	0.5102	0.6617
1330	7654169						
1331	7654214						
1332	7654237						
1333	7654241						
1334	7654327						
1335	7654383						
1336	7655081	0.5525	0.5938	0.6534	0.6321	0.6101	0.5797
1337	7655191	0.214	0.2122	0.2554	0.2127	0.2375	0.255
1338	7656435						
1339	7656606						
1340	7657106						
1341	7657166						
1342	7657167						
1343	7657168	0.0	0.0506	0.0691	0.0805	0.0802	0.1596
1344	7657291						
1345	7657327						
1346	7657517						
1347	7657628						
1348	7657666						
1349	7657708	0.0713	0.0463	0.0835	0.0811	0.082	0.1308
1350	7657714						
1351	7657898						
1352	7658021						
1353	7658163						
1354	7658166						
1355	7658212						
1356	7658474	0.7227	0.8201	0.8179	0.7802	0.8097	0.8069
1357	7658553						
1358	7658651						
1359	7659501	0.1312	0.1635	0.1268	0.1858	0.2182	0.3659
1360	7659858						
1361	7660125						
1362	7660319						
1363	7660415						
1364	7660792						
1365	7661042						
1366	7661859						
1367	7661930						
1368	7662106						
1369	7662115						
1370	7662326						
1371	7662352						
1372	7662360	0.4852	0.4569	0.3968	0.3414	0.373	0.4027
1373	7662585						
1374	7662800						
1375	7662891						
1376	7662892						
1377	7663043						
1378	7663153						
1379	7663172						
1380	7663517						
1381	7664017						
1382	7664151						
1383	7664194	0.2133	0.4201	0.3991	0.4101	0.4535	0.5248
1384	7664283						
1385	7664286						
